IP;Score;Date;Signalements
216.26.234.88;17%;11/03/2026 03:30:19;3
65.111.7.58;20%;11/03/2026 03:30:19;3
45.3.38.253;15%;11/03/2026 03:30:19;2
45.3.41.6;22%;11/03/2026 03:30:19;6
104.207.34.131;15%;11/03/2026 03:30:19;2
104.207.34.227;18%;11/03/2026 03:45:19;5
65.111.4.70;24%;11/03/2026 03:45:19;16
216.26.230.144;16%;11/03/2026 04:00:22;2
65.111.1.149;10%;11/03/2026 04:00:22;1
45.3.39.189;14%;11/03/2026 04:00:22;2
216.26.231.155;18%;11/03/2026 04:00:22;2
65.111.6.241;41%;11/03/2026 04:00:22;36
65.111.13.6;28%;11/03/2026 04:00:22;13
65.111.9.251;28%;11/03/2026 04:00:22;6
65.111.0.60;22%;11/03/2026 04:00:22;10
104.207.46.97;16%;11/03/2026 04:00:22;8
209.50.163.162;18%;11/03/2026 04:00:22;2
216.26.248.62;33%;11/03/2026 04:00:22;8
65.111.7.109;26%;11/03/2026 04:00:22;13
45.3.48.40;15%;11/03/2026 04:00:22;1
209.50.188.250;15%;11/03/2026 04:00:22;3
65.111.1.73;18%;11/03/2026 04:00:22;3
216.26.238.235;27%;11/03/2026 04:00:22;6
104.207.35.203;19%;11/03/2026 04:00:22;2
65.111.6.10;12%;11/03/2026 04:00:22;2
45.3.49.213;12%;11/03/2026 04:00:22;2
65.111.3.231;15%;11/03/2026 04:00:22;2
45.3.62.2;24%;11/03/2026 04:00:22;5
216.26.227.247;19%;11/03/2026 04:00:22;2
65.111.8.218;13%;11/03/2026 04:00:22;2
209.50.172.120;21%;11/03/2026 04:00:22;5
209.50.165.116;19%;11/03/2026 04:00:22;4
216.26.226.214;15%;11/03/2026 04:00:22;2